Date,Gold,Oil,interest_rate,USD_IDR
2022-02-21,1898.5999755859375,91.06999969482422,0.08,14361.0
2022-02-22,1906.0999755859375,92.3499984741211,0.08,14361.0
2022-02-23,1909.199951171875,92.0999984741211,0.08,14361.0
2022-02-24,1925.0999755859375,92.80999755859375,0.08,14361.0
2022-02-25,1886.5,91.58999633789062,0.08,14361.0
2022-02-28,1899.4000244140625,95.72000122070312,0.08,14382.0
2022-03-01,1942.4000244140625,103.41000366210938,0.08,14382.0
2022-03-02,1920.9000244140625,110.5999984741211,0.08,14382.0
2022-03-03,1934.4000244140625,107.66999816894531,0.08,14382.0
2022-03-04,1965.0999755859375,115.68000030517578,0.08,14382.0
2022-03-07,1993.9000244140625,119.4000015258789,0.08,14320.0
2022-03-08,2040.0999755859375,123.69999694824219,0.08,14320.0
2022-03-09,1985.9000244140625,108.69999694824219,0.08,14320.0
2022-03-10,1998.0999755859375,106.0199966430664,0.08,14320.0
2022-03-11,1982.699951171875,109.33000183105469,0.08,14320.0
2022-03-14,1959.5999755859375,103.01000213623047,0.08,14307.0
2022-03-15,1928.5,96.44000244140625,0.08,14307.0
2022-03-16,1908.0,95.04000091552734,0.08,14307.0
2022-03-17,1942.0999755859375,102.9800033569336,0.33,14307.0
2022-03-18,1928.199951171875,104.69999694824219,0.33,14307.0
2022-03-21,1928.5999755859375,112.12000274658203,0.33,14354.0
2022-03-22,1920.699951171875,111.76000213623047,0.33,14354.0
2022-03-23,1936.5999755859375,114.93000030517578,0.33,14354.0
2022-03-24,1961.5999755859375,112.33999633789062,0.33,14354.0
2022-03-25,1953.800048828125,113.9000015258789,0.33,14354.0
2022-03-28,1939.5999755859375,105.95999908447266,0.33,14355.0
2022-03-29,1912.0,104.23999786376953,0.33,14355.0
2022-03-30,1933.5,107.81999969482422,0.33,14355.0
2022-03-31,1949.199951171875,100.27999877929688,0.33,14355.0
2022-04-01,1919.0999755859375,99.2699966430664,0.33,14355.0
2022-04-04,1929.199951171875,103.27999877929688,0.33,14357.0
2022-04-05,1922.9000244140625,101.95999908447266,0.33,14357.0
2022-04-06,1918.4000244140625,96.2300033569336,0.33,14357.0
2022-04-07,1933.800048828125,96.02999877929688,0.33,14357.0
2022-04-08,1941.5999755859375,98.26000213623047,0.33,14357.0
2022-04-11,1944.300048828125,94.29000091552734,0.33,14366.0
2022-04-12,1972.0999755859375,100.5999984741211,0.33,14366.0
2022-04-13,1981.0,104.25,0.33,14366.0
2022-04-14,1970.9000244140625,106.94999694824219,0.33,14366.0
2022-04-18,1982.9000244140625,108.20999908447266,0.33,14368.0
2022-04-19,1955.699951171875,102.55999755859375,0.33,14368.0
2022-04-20,1952.300048828125,102.75,0.33,14368.0
2022-04-21,1944.9000244140625,103.79000091552734,0.33,14368.0
2022-04-22,1931.0,102.06999969482422,0.33,14368.0
2022-04-25,1893.199951171875,98.54000091552734,0.33,14461.0
2022-04-26,1901.4000244140625,101.69999694824219,0.33,14461.0
2022-04-27,1885.9000244140625,102.0199966430664,0.33,14461.0
2022-04-28,1888.699951171875,105.36000061035156,0.33,14461.0
2022-04-29,1909.300048828125,104.69000244140625,0.33,14461.0
2022-05-02,1861.800048828125,105.16999816894531,0.33,14473.0
2022-05-03,1868.800048828125,102.41000366210938,0.33,14473.0
2022-05-04,1867.0,107.80999755859375,0.33,14473.0
2022-05-05,1874.0,108.26000213623047,0.83,14473.0
2022-05-06,1881.199951171875,109.7699966430664,0.83,14473.0
2022-05-09,1857.0999755859375,103.08999633789062,0.83,14578.0
2022-05-10,1839.9000244140625,99.76000213623047,0.83,14578.0
2022-05-11,1852.5999755859375,105.70999908447266,0.83,14578.0
2022-05-12,1823.800048828125,106.12999725341797,0.83,14578.0
2022-05-13,1807.4000244140625,110.48999786376953,0.83,14578.0
2022-05-16,1813.5,114.19999694824219,0.83,14659.0
2022-05-17,1818.199951171875,112.4000015258789,0.83,14659.0
2022-05-18,1815.9000244140625,109.58999633789062,0.83,14659.0
2022-05-19,1841.199951171875,112.20999908447266,0.83,14659.0
2022-05-20,1841.800048828125,113.2300033569336,0.83,14659.0
2022-05-23,1847.800048828125,110.29000091552734,0.83,14614.0
2022-05-24,1865.0999755859375,109.7699966430664,0.83,14614.0
2022-05-25,1846.199951171875,110.33000183105469,0.83,14614.0
2022-05-26,1847.4000244140625,114.08999633789062,0.83,14614.0
2022-05-27,1851.300048828125,115.06999969482422,0.83,14614.0
2022-05-30,1851.300048828125,115.06999969482422,0.83,14515.0
2022-05-31,1842.699951171875,114.66999816894531,0.83,14515.0
